timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1501625564258659,1,-1,3,1,3,-8,8,2
1501625564260616,-4,3,-2,1,15,19,0,2
1501625564260616,-1,1,-1,-2,-4,2,-3,-5
1501625564272624,1,-4,1,1,-5,-2,2,1
1501625564272624,-5,-2,-4,-2,-1,1,-9,-5
1501625564281629,4,3,-1,-2,-16,-17,0,4
1501625564281629,-1,-4,0,1,-7,-10,2,2
1501625564295640,-5,-8,-1,-2,7,-11,-4,-3
1501625564295640,1,1,3,4,17,40,5,3
1501625564302686,1,4,-6,-8,-31,-35,-1,-4
1501625564302686,0,-3,-3,0,18,37,0,-1
1501625564318698,0,3,1,2,3,2,4,4
1501625564318698,-2,-3,-4,-2,-8,-13,-4,-1
1501625564320646,-1,1,0,1,-2,0,0,0
1501625564320646,-10,3,-1,-1,-1,0,-1,-4
1501625564332710,8,3,2,-2,-7,-10,2,2
1501625564332710,11,-2,-1,0,0,-11,-4,7
1501625564341673,-3,-1,-1,1,20,46,1,-1
1501625564341673,-2,-2,-1,-1,-15,-29,-4,-1
1501625564355725,-3,-3,-1,-2,3,18,-4,-5
1501625564355725,-3,-2,-5,-4,-17,-21,0,-4
1501625564362673,-1,-2,-1,0,5,8,-4,-2
1501625564362673,2,3,3,3,12,17,4,6
1501625564378685,-3,-3,-2,-4,-15,-12,-5,-4
1501625564378685,-2,-1,-1,1,17,-1,0,-3
1501625564380703,-1,0,0,0,-13,-7,10,4
1501625564380703,5,1,-5,0,-1,-12,-2,-2
1501625564392752,-2,-6,-1,-2,8,26,-2,-1
1501625564392752,-1,1,1,0,-12,-28,-4,-3
1501625564401727,-14,-2,-6,-2,3,16,-3,-2
1501625564401727,8,-1,-1,-3,-6,0,7,11
1501625564415725,-4,0,2,3,0,-12,3,-2
1501625564415725,0,-1,-3,-3,-1,1,-2,-1
1501625564422715,-1,5,-2,-1,-13,-22,-3,0
1501625564422715,0,-1,0,0,3,13,-5,-2
1501625564438741,-6,-8,-2,0,10,8,-4,-4
1501625564438741,-1,2,-2,-2,-5,6,0,-1
1501625564440743,3,3,0,2,2,-1,4,2
1501625564440743,-1,6,1,-4,-28,-54,-7,-2
1501625564452881,-2,-4,-1,-2,11,8,-2,-1
1501625564452881,5,-5,-1,2,25,54,3,0
1501625564461824,-1,3,-1,-1,-9,-18,-6,-6
1501625564461824,-4,-5,-1,-3,-1,-3,0,-3
1501625564475841,2,-2,-2,-2,-19,-42,-2,-2
1501625564475841,4,1,-1,-2,1,8,3,2
1501625564482866,-2,4,-1,-1,3,6,-1,-2
1501625564482866,-5,-2,1,0,4,11,-3,-3
1501625564498858,8,1,-2,-2,-19,-35,-3,3
1501625564498858,-10,-4,-1,5,32,66,8,2
1501625564500853,-4,3,1,-1,-12,-20,-2,1
1501625564500853,-2,1,-1,1,9,4,-2,-1
1501625564512875,4,-3,0,1,6,17,-2,0
1501625564512875,-2,-3,-5,-5,-21,-25,-5,-5
1501625564521920,1,-3,-5,-3,8,12,3,-1
1501625564521920,-2,-1,1,-2,-4,-2,-1,-1
1501625564535934,-6,-3,-3,-3,1,4,-4,-3
1501625564535934,4,-3,-3,-3,-6,-15,2,0
1501625564542907,-2,1,1,-1,-4,8,-1,-5
1501625564542907,-3,-1,-5,-7,-5,-21,-6,-4
1501625564558948,-2,0,1,0,-1,5,6,3
1501625564558948,-1,-1,1,1,-1,-26,-4,-3
1501625564560911,-5,0,-2,2,14,31,-3,-2
1501625564560911,2,-1,2,1,-2,7,6,4
